Parish,Date,Labor force size,Employment,Unemployment,Unemployment rate,National labor force size,National employment,National unemployment,National unemployment rate
Acadia,1/1/1990,20286,19091,1195,5.9,125833,119081,6752,5.4
Acadia,2/1/1990,20485,19375,1110,5.4,125710,119059,6651,5.3
Acadia,3/1/1990,20837,19710,1127,5.4,125801,119203,6598,5.2
Acadia,4/1/1990,20955,19904,1051,5,125649,118852,6797,5.4
Acadia,5/1/1990,21237,20029,1208,5.7,125893,119151,6742,5.4
Acadia,6/1/1990,21810,20254,1556,7.1,125573,118983,6590,5.2
Acadia,7/1/1990,22890,20700,2190,9.6,125732,118810,6922,5.5
Acadia,8/1/1990,22731,20916,1815,8,125990,118802,7188,5.7
Acadia,9/1/1990,21957,20384,1573,7.2,125892,118524,7368,5.9
Acadia,10/1/1990,21907,20510,1397,6.4,125995,118536,7459,5.9
Acadia,11/1/1990,21778,20504,1274,5.8,126070,118306,7764,6.2
Acadia,12/1/1990,21678,20469,1209,5.6,126142,118241,7901,6.3
Acadia,1/1/1991,21235,19929,1306,6.2,125955,117940,8015,6.4
Acadia,2/1/1991,21368,20074,1294,6.1,126020,117755,8265,6.6
Acadia,3/1/1991,21773,20380,1393,6.4,126238,117652,8586,6.8
Acadia,4/1/1991,22088,20715,1373,6.2,126548,118109,8439,6.7
Acadia,5/1/1991,21995,20603,1392,6.3,126176,117440,8736,6.9
Acadia,6/1/1991,22511,20779,1732,7.7,126331,117639,8692,6.9
Acadia,7/1/1991,23313,21036,2277,9.8,126154,117568,8586,6.8
Acadia,8/1/1991,22380,20783,1597,7.1,126150,117484,8666,6.9
Acadia,9/1/1991,22233,20674,1559,7,126650,117928,8722,6.9
Acadia,10/1/1991,22336,20636,1700,7.6,126642,117800,8842,7
Acadia,11/1/1991,22229,20624,1605,7.2,126701,117770,8931,7
Acadia,12/1/1991,22032,20480,1552,7,126664,117466,9198,7.3
Acadia,1/1/1992,21623,19698,1925,8.9,127261,117978,9283,7.3
Acadia,2/1/1992,21492,19696,1796,8.4,127207,117753,9454,7.4
Acadia,3/1/1992,21782,19898,1884,8.6,127604,118144,9460,7.4
Acadia,4/1/1992,21925,20066,1859,8.5,127841,118426,9415,7.4
Acadia,5/1/1992,21819,19922,1897,8.7,128119,118375,9744,7.6
Acadia,6/1/1992,22504,20041,2463,10.9,128459,118419,10040,7.8
Acadia,7/1/1992,23090,20870,2220,9.6,128563,118713,9850,7.7
Acadia,8/1/1992,22933,20751,2182,9.5,128613,118826,9787,7.6
Acadia,9/1/1992,22519,20418,2101,9.3,128501,118720,9781,7.6
Acadia,10/1/1992,22292,20423,1869,8.4,128026,118628,9398,7.3
Acadia,11/1/1992,22118,20545,1573,7.1,128441,118876,9565,7.4
Acadia,12/1/1992,21553,20080,1473,6.8,128554,118997,9557,7.4
Acadia,1/1/1993,21058,19410,1648,7.8,128400,119075,9325,7.3
Acadia,2/1/1993,21074,19603,1471,7,128458,119275,9183,7.1
Acadia,3/1/1993,21434,19832,1602,7.5,128598,119542,9056,7
Acadia,4/1/1993,21567,19981,1586,7.4,128584,119474,9110,7.1
Acadia,5/1/1993,21694,20044,1650,7.6,129264,120115,9149,7.1
Acadia,6/1/1993,22060,20015,2045,9.3,129411,120290,9121,7
Acadia,7/1/1993,22253,20347,1906,8.6,129397,120467,8930,6.9
Acadia,8/1/1993,22234,20420,1814,8.2,129619,120856,8763,6.8
Acadia,9/1/1993,21699,20172,1527,7,129268,120554,8714,6.7
Acadia,10/1/1993,21952,20298,1654,7.5,129573,120823,8750,6.8
Acadia,11/1/1993,21924,20375,1549,7.1,129711,121169,8542,6.6
Acadia,12/1/1993,21806,20327,1479,6.8,129941,121464,8477,6.5
Acadia,1/1/1994,21432,19676,1756,8.2,130596,121966,8630,6.6
Acadia,2/1/1994,21434,19887,1547,7.2,130669,122086,8583,6.6
Acadia,3/1/1994,21683,20077,1606,7.4,130400,121930,8470,6.5
Acadia,4/1/1994,21890,20306,1584,7.2,130621,122290,8331,6.4
Acadia,5/1/1994,21848,20424,1424,6.5,130779,122864,7915,6.1
Acadia,6/1/1994,22180,20374,1806,8.1,130561,122634,7927,6.1
Acadia,7/1/1994,22533,20815,1718,7.6,130652,122706,7946,6.1
Acadia,8/1/1994,22483,20832,1651,7.3,131275,123342,7933,6
Acadia,9/1/1994,22256,20609,1647,7.4,131421,123687,7734,5.9
Acadia,10/1/1994,22139,20520,1619,7.3,131744,124112,7632,5.8
Acadia,11/1/1994,22065,20658,1407,6.4,131891,124516,7375,5.6
Acadia,12/1/1994,21800,20485,1315,6,131951,124721,7230,5.5
Acadia,1/1/1995,21478,19916,1562,7.3,132038,124663,7375,5.6
Acadia,2/1/1995,21582,20144,1438,6.7,132115,124928,7187,5.4
Acadia,3/1/1995,21814,20436,1378,6.3,132108,124955,7153,5.4
Acadia,4/1/1995,22083,20625,1458,6.6,132590,124945,7645,5.8
Acadia,5/1/1995,21860,20486,1374,6.3,131851,124421,7430,5.6
Acadia,6/1/1995,22262,20593,1669,7.5,131949,124522,7427,5.6
Acadia,7/1/1995,22999,20878,2121,9.2,132343,124816,7527,5.7
Acadia,8/1/1995,22449,20878,1571,7,132336,124852,7484,5.7
Acadia,9/1/1995,22274,20747,1527,6.9,132611,125133,7478,5.6
Acadia,10/1/1995,22281,20771,1510,6.8,132716,125388,7328,5.5
Acadia,11/1/1995,22446,20911,1535,6.8,132614,125188,7426,5.6
Acadia,12/1/1995,22277,20813,1464,6.6,132511,125088,7423,5.6
Acadia,1/1/1996,22480,20282,2198,9.8,132616,125125,7491,5.6
Acadia,2/1/1996,22355,20579,1776,7.9,132952,125639,7313,5.5
Acadia,3/1/1996,22464,20778,1686,7.5,133180,125862,7318,5.5
Acadia,4/1/1996,22635,20959,1676,7.4,133409,125994,7415,5.6
Acadia,5/1/1996,22661,20981,1680,7.4,133667,126244,7423,5.6
Acadia,6/1/1996,22897,21143,1754,7.7,133697,126602,7095,5.3
Acadia,7/1/1996,23099,21539,1560,6.8,134284,126947,7337,5.5
Acadia,8/1/1996,23155,21679,1476,6.4,134054,127172,6882,5.1
Acadia,9/1/1996,23033,21524,1509,6.6,134515,127536,6979,5.2
Acadia,10/1/1996,23115,21661,1454,6.3,134921,127890,7031,5.2
Acadia,11/1/1996,23061,21677,1384,6,135007,127771,7236,5.4
Acadia,12/1/1996,22927,21663,1264,5.5,135113,127860,7253,5.4
Acadia,1/1/1997,22350,21015,1335,6,135456,128298,7158,5.3
